movie_id,rank,title,runtime,year,rating,votes
tt7984766,110,The King,2h 20m,2019,7.3, (171K
tt6343314,111,Creed II,2h 10m,2018,7.1, (167K
tt4566758,112,Mulan,1h 55m,2020,5.8, (166K
tt7959026,113,The Mule,1h 56m,2018,7.0, (166K
tt7395114,114,The Devil All the Time,2h 18m,2020,7.1, (165K
tt5363618,115,Sound of Metal,2h,2019,7.7, (164K
tt1314396,116,Borat Subsequent Moviefilm,1h 35m,2020,6.6, (162K
tt2854926,117,Tag,1h 40m,2018,6.5, (159K
tt3829266,118,The Predator,1h 47m,2018,5.3, (158K
tt1488606,119,Triple Frontier,2h 5m,2019,6.5, (158K
tt2283336,120,Men in Black: International,1h 54m,2019,5.6, (158K
tt2222042,121,Love and Monsters,1h 49m,2020,6.9, (156K
tt9893250,122,I Care a Lot,1h 58m,2020,6.4, (156K
tt5886046,123,Escape Room,1h 39m,2019,6.4, (156K
tt7737786,124,Greenland,1h 59m,2020,6.4, (151K
tt1571234,125,Mortal Engines,2h 8m,2018,6.1, (151K
tt1259528,126,Den of Thieves,2h 20m,2018,7.0, (150K
tt8244784,127,The Hunt,1h 30m,2020,6.6, (149K
tt8404614,128,The Two Popes,2h 5m,2019,7.6, (144K
tt5758778,129,Skyscraper,1h 42m,2018,5.8, (143K
tt9495224,130,Black Mirror: Bandersnatch,1h 30m,2018,7.1, (142K
tt1489887,131,Booksmart,1h 42m,2019,7.1, (138K
tt8110330,132,Dil Bechara,1h 41m,2020,8.3, (137K
tt3846674,133,To All the Boys I've Loved Before,1h 39m,2018,7.0, (136K
tt2557478,134,Pacific Rim: Uprising,1h 51m,2018,5.6, (135K
tt8503618,135,Hamilton,2h 40m,2020,8.3, (134K
tt6394270,136,Bombshell,1h 49m,2019,6.8, (134K
tt7401588,137,Instant Family,1h 58m,2018,7.3, (133K
tt5164432,138,"Love, Simon",1h 50m,2018,7.5, (132K
tt1590193,139,The Commuter,1h 44m,2018,6.3, (132K
tt1018951,140,Soorarai Pottru,2h 33m,2020,8.6, (130K
tt4777008,141,Maleficent: Mistress of Evil,1h 59m,2019,6.6, (129K
tt1025100,142,Gemini Man,1h 57m,2019,5.7, (129K
tt6048922,143,Greyhound,1h 31m,2020,7.0, (128K
tt2139881,144,Long Shot,2h 5m,2019,6.8, (127K
tt8613070,145,Portrait of a Lady on Fire,2h 2m,2019,8.0, (123K
tt1226837,146,Beautiful Boy,2h,2018,7.4, (121K
tt8267604,147,Capernaum,2h 6m,2018,8.4, (120K
tt6189022,148,Angel Has Fallen,2h 1m,2019,6.4, (120K
tt2548396,149,The Cloverfield Paradox,1h 42m,2018,5.5, (119K
tt9071322,150,Dark Waters,2h 6m,2019,7.6, (119K
tt6911608,151,Mamma Mia! Here We Go Again,1h 54m,2018,6.6, (118K
tt1206885,152,Rambo: Last Blood,1h 29m,2019,6.1, (117K
tt7752126,153,Brightburn,1h 30m,2019,6.1, (117K
tt4364194,154,The Peanut Butter Falcon,1h 37m,2019,7.6, (117K
tt4530422,155,Overlord,1h 50m,2018,6.6, (114K
tt8108198,156,Andhadhun,2h 19m,2018,8.2, (112K
tt5503686,157,Hustlers,1h 50m,2019,6.3, (112K
tt1860242,158,The Highwaymen,2h 12m,2019,6.9, (112K
